segment,description
50304443,thornton oranges
50304444,wekiwa tangerines
50304445,wilkins tangerines
50304446,willowleaf mediterranean tangerines
50304501,alphonso mangoes
50304502,ataulfo mangoes
50304503,criollo mangoes
50304504,edwards mangoes
50304505,francine mangoes
50304506,francis mangoes
50304507,gandaria mangoes
50304508,haden mangoes
50304509,irwin mangoes
50304510,keitt mangoes
50304511,kent mangoes
50304512,kesar mangoes
50304513,kuini mangoes
50304514,manila super mangoes
50304515,manila mangoes
50304516,mayaguez mangoes
50304517,mulgoba mangoes
50304518,oro mangoes
50304519,palmer mangoes
50304520,parvin mangoes
50304521,sandersha mangoes
50304522,sensation mangoes
50304523,smith mangoes
50304524,tommy atkins mangoes
50304525,van dyke mangoes
50304601,allsweet melons
50304602,athena melons
50304603,black diamond melons
50304604,cal sweet melons
50304605,cantaloupe melons
50304606,carnical melons
50304607,casaba melons
50304608,cavaillon melons
50304609,charentais melons
50304610,charleston gray watermelon
50304611,crenshaw melons
50304612,crimson sweet melons
50304613,dixie lee melons
50304614,eclipse melons
50304615,ein d'or melons
50304616,fiesta melons
50304617,galia melons
50304618,gaya melons
50304619,hami melons
50304620,honeydew melons
50304621,icebox melons
50304622,ida pride melons
50304623,juan canary melons
50304624,jubilee melons
50304625,jubilation melons
50304626,kakhi/kakri melons
50304627,kiwano melons
50304628,korean melons
50304629,long gray melons
50304630,mayan melons
50304631,micky lee melons
50304632,mirage melons
50304633,moon and stars watermelon
50304634,ogen melons
50304635,patriot melons
50304636,peacock melons
50304637,pepino melons
50304638,persian melons
50304639,picnic melons
50304640,piel de sapo melons
50304641,pineapple melons
50304642,quetzali melons
50304643,red goblin melons
50304644,regency melons
50304645,royal majestic melons
50304646,royal star melons
50304647,royal sweet melons
50304648,santa claus melons
50304649,sharlyn melons
50304650,spanish melons
50304651,sprite melons
50304652,starbright melons
50304653,stars n stripes melons
50304654,sugar baby melons
50304655,sugar baby watermelon
50304656,sunsweet melons
50304657,sweet heart seedless watermelon
50304658,temptation melons
50304659,tiger baby melons
50304660,tuscan type melons
50304661,yellow baby watermelon
50304701,black mulberries
50304702,white mulberries
50304801,bog myrtle
50304901,april glo nectarines
50304902,arctic mist nectarines
50304903,arctic snow nectarines
50304904,arctic star nectarines
50304905,arctic sweet nectarines
50304906,arctic glo nectarines
50304907,august fire nectarines
50304908,august pearl nectarines
50304909,august red nectarines
50304910,autumn star nectarines
50304911,big john nectarines
50304912,bright pearl nectarines
50304913,diamond bright nectarines
50304914,diamond ray nectarines
50304915,earliglo nectarines
50304916,early diamond nectarines
50304917,fairlane nectarines
50304918,fantasia nectarines
50304919,fire pearl nectarines
50304920,fire sweet nectarines
50304921,flamekist nectarines
50304922,flat type nectarines
50304923,garden delight nectarines
50304924,goldmine nectarines
50304925,grand pearl nectarines
50304926,hardired nectarines
50304927,honey blaze nectarines
50304928,july red nectarines
50304929,kay pearl nectarines
50304930,kay sweet nectarines
50304931,may diamond nectarines
50304932,mayfire nectarines
50304933,mayglo nectarines
50304934,mericrest nectarines
50304935,red diamond nectarines
50304936,red gold nectarines
50304937,red jim nectarines
50304938,red roy nectarines
50304939,rio red nectarines
50304940,rose diamond nectarines
50304941,royal glo nectarines
50304942,ruby diamond nectarines
50304943,ruby sweet nectarines
50304944,ruddy jewel nectarines
50304945,september red nectarines
50304946,snowqueen nectarines
50304947,spring bright nectarines
50304948,spring red nectarines
50304949,summer blush nectarines
50304950,summer brite nectarines
50304951,summer diamond nectarines
50304952,summer fire nectarines
50304953,summer grand nectarines
50304954,sunglo nectarines
50304955,zee fire nectarines
50304956,zee glo nectarines
50304957,zeegrand nectarines
50305001,african sour oranges
50305002,ambersweet oranges
50305003,argentine sour oranges
50305004,bahianinha oranges
50305005,bergamot oranges
50305006,berna oranges
50305007,bigaradier apepu oranges
50305008,bittersweet daidai oranges
50305009,blonde oranges
50305010,blood oranges
50305011,california navel oranges
50305012,cara cara oranges
50305013,chinotto oranges
50305014,dream navel oranges
50305015,gou tou oranges
50305016,hamlin oranges
50305017,jaffa oranges
50305018,jincheng oranges
50305019,k-early oranges
50305020,kona oranges
50305021,late navel oranges
50305022,late valencia oranges
50305023,limequat oranges
50305024,marr oranges
50305025,melogold oranges
50305026,moro oranges
50305027,moro tarocco oranges
50305028,navel oranges
50305029,navelina oranges
50305030,oro blanco oranges
50305031,osceola oranges
50305032,parson brown oranges
50305033,pera oranges
50305034,pummulo oranges
50305035,rhode red oranges
50305036,roble oranges
50305037,salustianas oranges
50305038,sanguine oranges
50305039,sanguinelli oranges
50305040,seville oranges
50305041,shamouti jaffa oranges
50305042,tunis oranges
50305043,valencia oranges
50305044,washington navel oranges
50305101,green cooking papayas
50305102,maradol papayas
50305103,mexican yellow papayas
50305104,mountain papayas
50305105,solo papayas
50305106,tainung papayas
50305201,banana passion fruit
50305202,blue passion flower
50305203,crackerjack passion fruit
50305204,giant granadilla passion fruit
50305205,golden granadilla passion fruit
50305206,maypops passion fruit
50305207,red granadilla passion fruit
50305208,sweet granadilla passion fruit
50305209,water lemon passion fruit
50305210,wing-stemmed passion flower
50305301,amber crest peaches
50305302,april snow peaches
50305303,august lady peaches
50305304,autumn flame peaches
50305305,autumn lady peaches
50305306,babcock peaches
50305307,brittney lane peaches
50305308,cary mac peaches
50305309,classic peaches
50305310,country sweet peaches
50305311,crest haven peaches
50305312,crimson lady peaches
50305313,crown princess peaches
50305314,david sun peaches
50305315,diamond princess peaches
50305316,earlirich peaches
50305317,early majestic peaches
50305318,early treat peaches
50305319,elegant lady peaches
50305320,empress peaches
50305321,encore peaches
50305322,fancy lady peaches
50305323,fire prince peaches
50305324,flame crest peaches
50305325,flat type peaches
50305326,flavorcrest peaches
50305327,florida prince peaches
50305328,full moon peaches
50305329,harvester peaches
50305330,ice princess peaches
50305331,ivory princess peaches
50305332,jersey queen peaches
50305333,john henry peaches
50305334,june prince peaches
50305335,kaweah peaches
50305336,klondike peaches
50305337,lindo peaches
50305338,loring peaches
50305339,majestic peaches
50305340,o'henry peaches
50305341,queencrest peaches
50305342,red lady peaches
50305343,redglobe peaches
50305344,redhaven peaches
50305345,redtop peaches
50305346,regina peaches
50305347,rich lady peaches
50305348,rich may peaches
50305349,royal glory peaches
50305350,royal lady peaches
50305351,september snow peaches
50305352,september sun peaches
50305353,sierra gem peaches
50305354,snow angel peaches
50305355,snow gem peaches
50305356,snow king peaches
50305357,spring lady peaches
50305358,spring snow peaches
50305359,springcrest peaches
50305360,sugar giant peaches
50305361,sugar lady peaches
50305362,sun bright peaches
50305363,sunhigh peaches
50305364,super lady peaches
50305365,super rich peaches
50305366,surecrop peaches
50305367,sweet dream peaches
50305368,sweet september peaches
50305369,vista peaches
50305370,white lady peaches
50305371,zee lady peaches
50305401,abate fetel pears
50305402,anjou pears
50305403,asian pears
50305404,bartlett pears
50305405,best ever pears
50305406,beth pears
50305407,beurre pears
50305408,bosc pears
50305409,clapp favorite pears
50305410,comice pears
50305411,concorde pears
50305412,conference pears
50305413,crimson red pears
50305414,d'anjou pears
50305415,dr jules guyot pears
50305416,early pears
50305417,emperor brown pears
50305418,forelle pears
50305419,french butter pears
50305420,glou morceau pears
50305421,hosui pears
50305422,italian butter pears
50305423,jargonelle pears
50305424,juno pears
50305425,kaiserlouise bonne de jersey pears
50305426,keiffer pears
50305427,kings royal pears
50305428,limonera pears
50305429,merton pride pears
50305430,mountain bartlett pears
50305431,olivier de serres pears
50305432,onward pears
50305433,packham's triumph pears
50305434,paraiso pears
50305435,passe crasanne pears
50305436,perry pears
50305437,red bartlett pears
50305438,red d'anjou pears
50305439,rocha pears
50305440,rosey red pears
50305441,rosy red pears
50305442,royal majestic pears
50305443,ruby red pears
50305444,santa maria pears
50305445,seckel pears
50305446,sensation pears
50305447,star crimson pears
50305448,stark crimson pears
50305449,summer bartlett pears
50305450,summer gold pears
50305451,sun gold pears
50305452,sunsprite pears
50305453,taylors gold pears
50305454,taylors red pears
50305455,tientsin pears
50305456,tosca pears
50305457,warden pears
50305458,williams bon chretien pears
50305459,williams pears
50305460,winter nelis pears
50305501,american persimmon
50305502,black sapote persimmon
50305503,chapote/black persimmon
50305504,date plum persimmon
50305505,fuyu persimmons
50305506,giant fuyu persimmons
50305507,hachiya persimmons
50305508,mabolo/butter fruit persimmon
50305509,principe ito persimmons
50305510,royal brillante persimmons
50305511,sharon fruit persimmon
50305512,triumph persimmons
50305601,cherimoya pineapple
50305602,golden pineapple
50305603,hilo pineapple
50305604,kona sugarloaf pineapple
50305605,natal queen pineapple
50305606,pernambuco pineapple
50305607,red spanish pineapple
50305608,smooth cayenne pineapple
50305609,sugarloaf pineapple
50305610,variegated pineapple
50305701,black kat plucot
50305702,blue gusto plucot
50305703,crimson heart plucot
50305704,dapple dandy plucot
50305705,dapple fire plucot
50305706,early dapple plucot
50305707,flavor fall plucot
50305708,flavor gold plucot
50305709,flavor grenade plucot
50305710,flavor heart plucot
50305711,flavor jewel plucot
50305712,flavor king plucot
50305713,flavor queen plucot
50305714,flavor supreme plucot
50305715,flavor treat plucot
50305716,flavorella plucot
50305717,flavorich plucot
50305718,flavorosa plucot
50305719,geo pride plucot
50305720,red kat plucot
50305721,royal treat plucot
50305722,sierra rose plucot
50305723,sweet geisha plucot
50305801,amber jewel plums
50305802,angeleno plums
50305803,aurora plums
50305804,autumn beaut plums
50305805,autumn giant plums
50305806,autumn pride plums
50305807,autumn rosa plums
50305808,beach plum
50305809,betty anne plums
50305810,black beaut plums
50305811,black bullace plum
50305812,black diamond plums
50305813,black giant plums
50305814,black ice plums
50305815,black splendor plums
50305816,blackamber plums
50305817,burgundy plums
50305818,carlsbad plum
50305819,casselman plums
50305820,catalina plums
50305821,damson plum
50305822,dolly plums
50305823,earliqueen plums
50305824,early rosa plums
50305825,ebony may plums
50305826,ebony plums
50305827,elephant heart plums
50305828,emerald beaut plums
50305829,empress plums
50305830,freedom plums
50305831,friar plums
50305832,gar red plums
50305833,governor's plum
50305834,grand rosa plums
50305835,green gage plum
50305836,greengage plums
50305837,hiromi plums
50305838,hiromi red plums
50305839,holiday plums
50305840,howard sun plums
50305841,interspecific type plums
50305842,jamaican plum
50305843,joanna red plums
50305844,kelsey plums
50305845,king james plums
50305846,laroda plums
50305847,late rosa plums
50305848,linda rosa plums
50305849,lone star red plums
50305850,mariposa plums
50305851,marked black plums
50305852,marked red plums
50305853,mirabelle plum
50305854,october sun plums
50305855,owen t plums
50305856,perdrigon plum
50305857,pink delight plums
50305858,president plums
50305859,primetime plums
50305860,purple majesty plums
50305861,queen rosa plums
50305862,quetsch plum
50305863,red beaut plums
50305864,red lane plums
50305865,red ram plums
50305866,red rosa plums
50305867,rich red plums
50305868,rosemary plums
50305869,royal diamond plums
50305870,royal red plums
50305871,royal zee plums
50305872,roysum plums
50305873,santa rosa plums
50305874,saphire plums
50305875,sloe plum
50305876,st catherine plum
50305877,white bullace plum
50305901,foothill pommegranates
50305902,granada pommegranates
50305903,jolly red pommegranates
50305904,nana pommegranates
50305905,pat's red pommegranates
50305906,pinkhan pommegranates
50305907,purple velvet pommegranates
50305908,wonderful pommegranates
50306001,chandler pomelo
50306002,hirado buntan pomelo
50306003,liang ping yau pomelo
50306004,pandan wangi pomelo
50306005,pink pomelo
50306006,red shaddock pomelo
50306007,siamese sweet pomelo
50306008,wainwright pomelo
50306101,champion quince
50306102,pineapple quince
50306103,smyrna quince
50306201,american red raspberry
50306202,bailey queensland raspberry
50306203,black raspberry
50306204,dark raspberry
50306205,delicious raspberry
50306206,focke dwarf raspberry
50306207,focke grayleaf red raspberry
50306208,focke strawberry raspberry
50306209,focke yellow himalayan raspberry
50306210,gold raspberry
50306211,gray new mexico raspberry
50306212,jepson whitebark raspberry
50306213,kellogg san diego raspberry
50306214,leucodermis whitebark raspberry
50306215,munz cuyamaca raspberry
50306216,peck barton's raspberry
50306217,purpleflowering raspberry
50306218,roadside raspberry
50306219,san diego raspberry
50306220,snow raspberry
50306221,snowpeaks raspberry
50306222,strawberryleaf raspberry
50306223,sweet cultivated raspberry
50306224,torr and gray whitebark raspberry
50306225,west indian raspberry
50306226,whitebark raspberry
50306227,wine raspberry
50306228,yellow himalayan raspberry
50306229,yu-shan raspberry
50306301,crimson red rhubarb
50306302,early champagne rhubarb
50306303,glaskin's perpetual rhubarb
50306304,sutton rhubarb
50306305,timperley early rhubarb
50306306,valentine rhubarb
50306307,victoria rhubarb
50306308,zwolle seedling rhubarb
50306309,macdonald rhubarb
50306310,tilden rhubarb
50306401,brier rose hips
50306402,elgantine rose hips
50306403,rugosa rose hips
50306404,scotch or burnet rose hips
50306501,white sapotes
50306502,black sapotes
50306601,honeywood saskatoon berries
50306602,northline saskatoon berries
50306603,smoky saskatoon berries
50306604,thiessen saskatoon berries
50306701,chandler strawberries
50306702,june bearing strawberries
50306703,ever bearing strawberries
50306801,kampong mauve sugar apple
50306802,seedless sugar apple
50306803,thai lessard sugar apple
50306901,amberlea gold tamarillo
50306902,bold gold tamarillo
50306903,goldmine tamarillo
50306904,oratia red tamarillo
50306905,red beau tamarillo
50306906,red delight tamarillo
50307001,akee
50307002,babaco
50307003,banana flowers
50307004,baobab
50307005,bitter oranges
50307006,canistel
50307007,cloudberries
50307008,coconuts
50307009,dewberries
50307010,durian
50307011,elderberries
50307012,feijoa
50307013,hackberries
50307014,hawthorn
50307015,honeyberries
50307016,jackfruit
50307017,jambolan
50307018,jujube
50307019,lychee
50307020,mangosteens
50307021,medlars
50307022,mombins
50307023,monstera
50307024,pepinos
50307025,plantains
50307026,prickly pears
50307027,quenepas
50307028,rambutan
50307029,rose apples
50307030,roselle
50307031,rowanberries
50307032,sea buckhorn berries
50307033,silverberries
50307034,sorb berries
50307035,soursops
50307036,star apples
50307037,tamarindo
50307101,autumn magic chokeberries
50307102,brillantisima chokeberries
50307103,nero chokeberries
50307104,viking chokeberries
50307201,agrinion olives
50307202,aleppo olives
50307203,alphonso olives
50307204,amphissa olives
50307205,arauco olives
50307206,arbequina olives
50307207,atalanta olives
50307208,cerignola olives
50307209,cracked provencal olives
50307210,empeltre olives
50307211,gaeta olives
50307212,hondroelia olives
50307213,kalamata olives
50307214,kura olives
50307215,ligurian olives
50307216,lucque olives
50307217,lugano olives
50307218,manzanilla olives
50307219,marche olives
50307220,mission olives
50307221,nafplion green olives
50307222,nicoise olives
50307223,nyons olives
50307224,picholine olives
50307225,ponentine olives
50307226,royal olives
50307227,seracena olives
50307228,sevillano olives
50307229,sicilian olives
50307230,toscanelle olives
50307501,citrus fruit rinds
50307502,water extracted soluble orange solids wesos
50307503,pulp
50311501,organic akane apples
50311502,organic ambrosia apples
50311503,organic api apples
50311504,organic baldwin apples
50311505,organic braeburn apples
50311506,organic bramley apples
50311507,organic bramley seedling apples
50311508,organic calville blanche d'hiver apples
50311509,organic cameo apples
50311510,organic charles ross apples
50311511,organic codlin apples
50311512,organic cortland apples
50311513,organic costard apples
50311514,organic court pendu plat apples
50311515,organic cox's orange pippin apples
50311516,organic crab apples
50311517,organic crispin apples
50311518,organic delicious apples
50311519,organic duchess apples
50311520,organic earligold apples
50311521,organic early mcintosh apples
50311522,organic elstar apples
50311523,organic empire apples
50311524,organic flower of kent apples
50311525,organic fuji apples
50311526,organic gala apples
50311527,organic gascoyne's scarlet apples
50311528,organic giliflower apples
50311529,organic ginger gold apples
50311530,organic gladstone apples
50311531,organic gloster apples
50311532,organic gold supreme apples
50311533,organic golden delicious apples
50311534,organic golden noble apples
50311535,organic granny smith apples
50311536,organic gravenstein apples
50311537,organic greening apples
50311538,organic greensleeves apples
50311539,organic honeycrisp apples
50311540,organic howgate wonder apples
50311541,organic ida red apples
50311542,organic james grieve apples
50311543,organic jersey mac apples
50311544,organic jester apples
50311545,organic jonagold apples
50311546,organic jonamac apples
50311547,organic jonathan apples
50311548,organic katy apples
50311549,organic kidd's orange red apples
50311550,organic lady apples
50311551,organic law rome apples
50311552,organic laxton apples
50311553,organic lord derby apples
50311554,organic macoun apples
50311555,organic mcintosh apples
50311556,organic mutsu apples
50311557,organic newtown pippin apples
50311558,organic northern spy apples
50311559,organic orleans reinette apples
50311560,organic ozark gold apples
50311561,organic pacific rose apples
50311562,organic paula red apples
50311563,organic pearmain apples
50311564,organic pink lady apples
50311565,organic pippin apples
50311566,organic pitmaston pineapple apples
50311567,organic pomme d'api apples
50311568,organic prime gold apples
50311569,organic red astrachan apples
50311570,organic red boscoop apples
50311571,organic red chief apples
50311572,organic red delicious apples
50311573,organic red gravenstein apples
50311574,organic red rome apples
50311575,organic red stayman apples
50311576,organic red york apples
50311577,organic reinette apples
50311578,organic rome beauty apples
50311579,organic russet apples
50311580,organic sierra beauty apples
50311581,organic spartan apples
50311582,organic stark crimson apples
50311583,organic starking apples
50311584,organic stayman apples
50311585,organic stayman winesap apples
50311586,organic summer rambo apples
50311587,organic tsugaru apples
50311588,organic twenty ounce apples
50311589,organic tydeman red apples
50311590,organic vistabella apples
50311591,organic wealthy apples
50311592,organic white joaneting apples
50311593,organic white transparent apples
50311594,organic winesap apples
50311595,organic worcester apples
50311596,organic york imperial apples
50311601,organic ambercot apricots
50311602,organic apache apricots
50311603,organic birttany gold apricots
50311604,organic black apricots
50311605,organic blenheim apricots
50311606,organic bonny apricots
50311607,organic bulida apricots
50311608,organic castlebrite apricots
50311609,organic clutha gold apricots
50311610,organic cluthasun apricots
50311611,organic darby royal apricots
50311612,organic dina apricots
50311613,organic earlicot apricots
50311614,organic earliman apricots
50311615,organic early bright apricots
50311616,organic flaming gold apricots
50311617,organic fresno apricots
50311618,organic gold brite apricots
50311619,organic goldbar apricots
50311620,organic golden sweet apricots
50311621,organic goldrich apricots
50311622,organic helena apricots
50311623,organic honeycot apricots
50311624,organic imperial apricots
50311625,organic jordanne apricots
50311626,organic jumbo cot apricots
50311627,organic kandy kot apricots
50311628,organic katy apricots
50311629,organic king apricots
50311630,organic lambertin apricots
50311631,organic lorna apricots
50311632,organic lulu belle apricots
50311633,organic modesto apricots
50311634,organic moorpark apricots
50311635,organic orangered apricots
50311636,organic palstein apricots
50311637,organic patterson apricots
50311638,organic perfection apricots
50311639,organic poppy apricots
50311640,organic poppycot apricots
50311641,organic queen apricots
50311642,organic riland apricots
50311643,organic rival apricots
50311644,organic robada apricots
50311645,organic royal apricots
50311646,organic royal blenheim apricots
50311647,organic royal orange apricots
50311648,organic sundrop apricots
50311649,organic tilton apricots
50311650,organic tomcot apricots
50311651,organic tracy apricots
50311652,organic tri gem apricots
50311653,organic valley gold apricots
50311654,organic westley apricots
50311655,organic york apricots
50311701,organic apple bananas
50311702,organic baby bananas
50311703,organic burro bananas
50311704,organic cavendish bananas
50311705,organic dominico bananas
50311706,organic green bananas
50311707,organic gros michel bananas
50311708,organic lacatan bananas
50311709,organic lady finger banana
50311710,organic manzano bananas
50311711,organic mysore bananas
50311712,organic pisang mas bananas
50311713,organic red bananas
50311714,organic saba bananas
50311715,organic sucrier bananas
50311801,organic paleleaf barberries
50311802,organic chenault barberries
50311803,organic red barberries
50311804,organic wintergreen barberries
50311805,organic korean barberries
50311806,organic mentor barberries
50311807,organic japanese barberries
50311808,organic atropurpurea barberries
50311809,organic aurea barberries
50311810,organic bagatelle barberries
50311811,organic crimson pygmy barberries
50311812,organic kobold barberries
50311813,organic warty barberries
50311814,organic european barberries
50311901,organic alpine bearberries
50311902,organic red bearberries
50311903,organic common bearberries
50312001,organic apache blackberries
50312002,organic black satin blackberries
50312003,organic boysenberries
50312004,organic cherokee blackberries
50312005,organic chester blackberries
50312006,organic dirksen blackberries
50312007,organic jostaberries
50312008,organic loganberries
50312009,organic marionberries
50312010,organic navaho blackberries
50312011,organic nectarberries
50312012,organic olallie blackberries
50312013,organic tayberries
50312014,organic thornless hull blackberries
50312015,organic youngberries
50312101,organic bog bilberries
50312102,organic dwarf bilberries
50312103,organic mountain bilberries
50312104,organic oval-leaved bilberries
50312201,organic bluetta blueberries
50312202,organic duke blueberries
50312203,organic spartan blueberries
50312204,organic patriot blueberries
50312205,organic toro blueberries
50312206,organic hardyblue blueberries
50312207,organic bluecrop blueberries
50312208,organic legacy blueberries
50312209,organic nelson blueberries
50312210,organic chandler blueberries
50312211,organic brigitta blueberries
50312212,organic northcountry blueberries
50312213,organic northsky blueberries
50312214,organic northblue blueberries
50312215,organic misty blueberries
50312301,organic chataigne breadfruit
50312302,organic seedless breadfruit
50312303,organic white heart breadfruit
50312304,organic yellow heart breadfruit
50312401,organic bays cherimoya
50312402,organic bronceada cherimoya
50312403,organic burtons cherimoya
50312404,organic burtons favorite cherimoya
50312405,organic jete cherimoya
50312406,organic reretai cherimoya
50312407,organic smoothey cherimoya
50312408,organic spain cherimoya
50312409,organic white cherimoya
50312501,organic amarelle cherries
50312502,organic brooks cherries
50312503,organic bigarreu cherries
50312504,organic bing cherries
50312505,organic black republic cherries
50312506,organic black schmidt cherries
50312507,organic black tartarian cherries
50312508,organic fiesta bing cherries
50312509,organic garnet cherries
50312510,organic king cherries
50312511,organic chapman cherries
50312512,organic lapin cherries
50312513,organic larian cherries
50312514,organic dark guines cherries
50312515,organic montmorency cherries
50312516,organic duke cherries
50312517,organic early rivers cherries
50312518,organic ruby bing cherries
50312519,organic santina cherries
50312520,organic geans/guines cherries
50312521,organic sonata cherries
50312522,organic lambert cherries
50312523,organic stella cherries
50312524,organic sweetheart cherries
50312525,organic tartarian cherries
50312527,organic maraschino cherries
50312528,organic van cherries
50312529,organic morello cherries
50312530,organic royal ann cherries
50312531,organic ranier cherries
50312532,organic royal cherries
50312601,organic buddha's hand citrons
50312602,organic fingered citrons
50312603,organic fo shoukan citrons
50312604,organic bushakan citrons
50312605,organic diamante citrons
50312606,organic etrog citrons
50312607,organic ponderosa citrons
50312701,organic ben lear cranberries
50312702,organic early black cranberries
50312703,organic grycleski cranberries
50312704,organic howe cranberries
50312705,organic lingonberries
50312706,organic mcfarlin cranberries
50312707,organic mountain cranberries
50312708,organic pilgrim cranberries
50312709,organic searless cranberries
50312710,organic stevens cranberries
50312801,organic hudson bay currants
50312802,organic waxy currants
50312803,organic desert currants
50312804,organic black currants
50312805,organic red currants
50312806,organic white currants
50312901,organic asharasi dates
50312902,organic barhi or barhee dates
50312903,organic deglet noor dates
50312904,organic fardh dates
50312905,organic gundila dates
50312906,organic halawi/halawy dates
50312907,organic hilali dates
50312908,organic khadrawi/khadrawy dates
50312909,organic khalas dates
50312910,organic khustawi dates
50312911,organic khidri dates
50312912,organic medjool/medjul dates
50312913,organic mactoum dates
50312914,organic neghal dates
50312915,organic yatimeh dates
50312916,organic zahidi dates
50313001,organic pink dragonfruit
50313002,organic yellow dragonfruit
50313101,organic bardajic figs
50313102,organic brown turkey figs
50313103,organic calimyrna figs
50313104,organic conadria figs
50313105,organic dottado figs
50313106,organic kadota figs
50313107,organic mediterranean figs
50313108,organic mission figs
50313109,organic smyrna figs
50313110,organic verdona figs
50313111,organic white king figs
50313201,organic early sulphur gooseberries
50313202,organic goldendrop gooseberries
50313203,organic langley gage gooseberries
50313204,organic leveller gooseberries
50313205,organic london gooseberries
50313206,organic worcestershire gooseberries
50313207,organic american worcesterberry gooseberries
50313301,organic burgundy grapefruit
50313302,organic duncan grapefruit
50313303,organic foster grapefruit
50313304,organic marsh grapefruit
50313305,organic new zealand grapefruit
50313306,organic rio red grapefruit
50313307,organic ruby red grapefruit
50313308,organic star ruby grapefruit
50313309,organic triumph grapefruit
50313401,organic alicante grapes
50313402,organic almeria grapes
50313403,organic alphonse lavalle grapes
50313404,organic autumn king grapes
50313405,organic autumn royal grapes
50313406,organic autumn seedless grapes
50313407,organic baresana grapes
50313408,organic barlinka grapes
50313409,organic beauty seedless grapes
50313410,organic black beauty seedless grapes
50313411,organic black emerald grapes
50313412,organic black giant grapes
50313413,organic black globe grapes
50313414,organic black monukka grapes
50313415,organic black pearl grapes
50313416,organic black seedless grapes
50313417,organic bonheur grapes
50313418,organic calmeria grapes
50313419,organic cardinal grapes
50313420,organic catawba grapes
50313421,organic chasselas/golden chasselas grapes
50313422,organic christmas rose grapes
50313423,organic concord grapes
50313424,organic concord seedless grapes
50313425,organic crimson seedless grapes
50313426,organic dauphine grapes
50313427,organic delaware grapes
50313428,organic early muscat grapes
50313429,organic early sweet grapes
50313430,organic emerald seedless grapes
50313431,organic emperatriz grapes
50313432,organic emperor grapes
50313433,organic empress grapes
50313434,organic exotic grapes
50313435,organic fantasy grapes
50313436,organic fantasy seedless grapes
50313437,organic flame grapes
50313438,organic flame seedless grapes
50313439,organic flame tokay grapes
50313440,organic flaming red grapes
50313441,organic galaxy seedless grapes
50313442,organic gamay grapes
50313443,organic gold grapes
50313444,organic hanepoot or honeypot grapes
50313445,organic italia grapes
50313446,organic jade seedless grapes
50313447,organic jubilee grapes
50313448,organic king ruby grapes
50313449,organic kyoho grapes
50313450,organic la rochelle grapes
50313451,organic lady finger grapes
50313452,organic late seedless grapes
50313453,organic majestic seedless grapes
50313454,organic malaga grapes
50313455,organic marroo seedless grapes
50313456,organic muscadine grapes
50313457,organic muscat flame grapes
50313458,organic muscat grapes
50313459,organic muscat seedless grapes
50313460,organic napoleon grapes
50313461,organic negria grapes
50313462,organic new cross grapes
50313463,organic niabell grapes
50313464,organic niagara grapes
50313465,organic olivette grapes
50313466,organic perlette grapes
50313467,organic perlon grapes
50313468,organic prima black seedless grapes
50313469,organic princess grapes
50313470,organic queen grapes
50313471,organic red blush grapes
50313472,organic red globe grapes
50313473,organic red malaga grapes
50313474,organic red seedless grapes
50313475,organic regina grapes
50313476,organic ribier grapes
50313477,organic rosita grapes
50313478,organic rouge grapes
50313479,organic royal black seedless grapes
50313480,organic ruby red seedless grapes
50313481,organic ruby seedless grapes
50313482,organic scarlet royal grapes
50313483,organic scuppernong grapes
50313484,organic sugarose grapes
50313485,organic sugarthirteen grapes
50313486,organic sugraone grapes
50313487,organic sugrasixteen grapes
50313488,organic sultana sun red grapes
50313489,organic summer royal grapes
50313490,organic sunset grapes
50313491,organic superior seedless grapes
50313492,organic thompson seedless grapes
50313493,organic tokay/pinot gris grapes
50313494,organic waltman cross grapes
50313495,organic white seedless grapes
50313496,organic zante current grapes
50313501,organic black corinth grapes
50313502,organic canner grapes
50313503,organic dovine grapes
50313504,organic fiesta grapes
50313505,organic selma pete grapes
50313506,organic sultana grapes
50313601,organic alicante bouschet grapes
50313602,organic barbera grapes
50313603,organic burger grapes
50313604,organic cabernet franc grapes
50313605,organic cabernet sauvignon grapes
50313606,organic carignane grapes
50313607,organic carnelian grapes
50313608,organic catarratto grapes
50313609,organic centurian grapes
50313610,organic charbono grapes
50313611,organic chardonnay grapes
50313612,organic chenin blanc grapes
50313613,organic cinsaut grapes
50313614,organic dolcetto grapes
50313615,organic emerald riesling grapes
50313616,organic french colombard grapes
50313617,organic gamay or napa grapes
50313618,organic gamay beaujolais grapes
50313619,organic gewurztraminer grapes
50313620,organic grenache grapes
50313621,organic grenache blanc grapes
50313622,organic lagrein grapes
50313623,organic lambrusco grapes
50313624,organic malbec grapes
50313625,organic malvasia bianca grapes
50313626,organic marsanne grapes
50313627,organic mataro grapes
50313628,organic merlot grapes
50313629,organic meunier grapes
50313630,organic mission grapes
50313631,organic montepulciano grapes
50313632,organic muscat blanc grapes
50313633,organic muscat hamburg grapes
50313634,organic muscat of alexandria grapes
50313635,organic muscat orange grapes
50313636,organic nebbiolo grapes
50313637,organic palomino grapes
50313638,organic petit verdot grapes
50313639,organic petite sirah grapes
50313640,organic pinot blanc grapes
50313641,organic pinot gris grapes
50313642,organic pinot noir grapes
50313643,organic primitivo grapes
50313644,organic roussanne grapes
50313645,organic royalty grapes
50313646,organic rubired grapes
50313647,organic ruby cabernet grapes
50313648,organic salvador grapes
50313649,organic sangiovese grapes
50313650,organic sauvignon blanc grapes
